,hr,holiday,workingday,temp,hum,windspeed,cnt,instant,mnth,yr,Clear to partly cloudy,Light Precipitation,Misty
173,5,0,0,0.78,0.62,0.0,6,13177,7,1,1,0,0
174,6,0,0,0.78,0.7,0.1343,21,13178,7,1,1,0,0
175,7,0,0,0.8,0.66,0.0,52,13179,7,1,1,0,0
176,8,0,0,0.84,0.53,0.1343,130,13180,7,1,1,0,0
177,9,0,0,0.86,0.5,0.1045,242,13181,7,1,1,0,0
178,10,0,0,0.9,0.45,0.0,319,13182,7,1,1,0,0
179,11,0,0,0.92,0.42,0.2985,389,13183,7,1,1,0,0
180,12,0,0,0.92,0.42,0.1939999999999999,376,13184,7,1,1,0,0
181,13,0,0,0.94,0.38,0.2537,337,13185,7,1,1,0,0
182,14,0,0,0.96,0.36,0.1642,312,13186,7,1,1,0,0
183,15,0,0,0.92,0.42,0.2836,298,13187,7,1,0,1,0
184,16,0,0,0.8,0.66,0.2239,291,13188,7,1,0,0,1
185,17,0,0,0.78,0.59,0.0,270,13189,7,1,1,0,0
186,18,0,0,0.78,0.62,0.1045,253,13190,7,1,1,0,0
187,19,0,0,0.78,0.62,0.1642,250,13191,7,1,1,0,0
188,20,0,0,0.76,0.7,0.0896,285,13192,7,1,1,0,0
189,21,0,0,0.76,0.7,0.1343,207,13193,7,1,1,0,0
190,22,0,0,0.74,0.7,0.0896,122,13194,7,1,0,1,0
191,23,0,0,0.68,0.83,0.0896,123,13195,7,1,0,1,0
192,0,0,1,0.68,0.89,0.0896,39,13196,7,1,0,0,1
193,1,0,1,0.7,0.89,0.1045,18,13197,7,1,0,1,0
194,2,0,1,0.7,0.89,0.1939999999999999,5,13198,7,1,0,1,0
195,3,0,1,0.7,0.89,0.1939999999999999,5,13199,7,1,0,1,0
196,4,0,1,0.66,0.89,0.3881,2,13200,7,1,0,1,0
197,5,0,1,0.66,0.83,0.2239,28,13201,7,1,0,0,1
198,6,0,1,0.64,0.89,0.2537,92,13202,7,1,0,1,0
199,7,0,1,0.66,0.83,0.2239,230,13203,7,1,0,1,0
200,8,0,1,0.66,0.83,0.1642,455,13204,7,1,0,0,1
201,9,0,1,0.66,0.83,0.1642,363,13205,7,1,0,0,1
202,10,0,1,0.66,0.83,0.1939999999999999,175,13206,7,1,0,0,1
203,11,0,1,0.72,0.62,0.1343,216,13207,7,1,0,0,1
204,12,0,1,0.74,0.58,0.1343,266,13208,7,1,0,0,1
205,13,0,1,0.76,0.55,0.2537,255,13209,7,1,0,0,1
206,14,0,1,0.74,0.55,0.2537,242,13210,7,1,0,0,1
207,15,0,1,0.76,0.45,0.2239,280,13211,7,1,0,0,1
208,16,0,1,0.78,0.4,0.2836,413,13212,7,1,1,0,0
209,17,0,1,0.78,0.4,0.1642,849,13213,7,1,1,0,0
210,18,0,1,0.76,0.48,0.1343,872,13214,7,1,1,0,0
211,19,0,1,0.74,0.55,0.1642,631,13215,7,1,1,0,0
212,20,0,1,0.74,0.55,0.1045,447,13216,7,1,0,0,1
213,21,0,1,0.74,0.55,0.0896,331,13217,7,1,0,0,1
214,22,0,1,0.72,0.58,0.1045,224,13218,7,1,0,0,1
215,23,0,1,0.7,0.65,0.1045,131,13219,7,1,0,0,1
216,0,0,1,0.7,0.7,0.0896,69,13220,7,1,1,0,0
217,1,0,1,0.7,0.74,0.1343,15,13221,7,1,1,0,0
218,2,0,1,0.7,0.74,0.1343,16,13222,7,1,1,0,0
219,3,0,1,0.68,0.79,0.0,3,13223,7,1,1,0,0
220,4,0,1,0.68,0.79,0.1343,4,13224,7,1,1,0,0
221,5,0,1,0.66,0.83,0.1343,42,13225,7,1,1,0,0
222,6,0,1,0.68,0.79,0.1045,187,13226,7,1,0,0,1
223,7,0,1,0.7,0.74,0.1045,520,13227,7,1,0,0,1
224,8,0,1,0.72,0.74,0.1343,649,13228,7,1,1,0,0
225,9,0,1,0.74,0.66,0.1343,331,13229,7,1,1,0,0
226,10,0,1,0.76,0.62,0.1939999999999999,190,13230,7,1,1,0,0
227,11,0,1,0.8,0.46,0.1939999999999999,249,13231,7,1,1,0,0
228,12,0,1,0.8,0.41,0.1343,272,13232,7,1,1,0,0
229,13,0,1,0.82,0.38,0.1939999999999999,280,13233,7,1,1,0,0
230,14,0,1,0.82,0.38,0.1642,242,13234,7,1,1,0,0
231,15,0,1,0.8,0.41,0.2239,265,13235,7,1,1,0,0
232,16,0,1,0.8,0.43,0.2239,435,13236,7,1,1,0,0
233,17,0,1,0.78,0.49,0.1939999999999999,872,13237,7,1,1,0,0
234,18,0,1,0.7,0.74,0.2239,819,13238,7,1,0,1,0
235,19,0,1,0.7,0.74,0.2239,414,13239,7,1,0,1,0
236,20,0,1,0.64,0.83,0.2239,84,13240,7,1,0,1,0
237,21,0,1,0.64,0.89,0.1045,90,13241,7,1,0,1,0
238,22,0,1,0.64,0.83,0.1343,139,13242,7,1,0,0,1
239,23,0,1,0.64,0.89,0.1045,103,13243,7,1,0,0,1
240,0,0,1,0.66,0.83,0.1343,44,13244,7,1,0,0,1
241,1,0,1,0.64,0.89,0.0,14,13245,7,1,1,0,0
242,2,0,1,0.64,0.89,0.0,5,13246,7,1,1,0,0
243,3,0,1,0.64,0.89,0.1343,5,13247,7,1,1,0,0
244,4,0,1,0.64,0.89,0.1343,7,13248,7,1,1,0,0
245,5,0,1,0.64,0.89,0.0,41,13249,7,1,1,0,0
246,6,0,1,0.64,0.89,0.1343,185,13250,7,1,1,0,0
247,7,0,1,0.66,0.83,0.1045,497,13251,7,1,0,0,1
248,8,0,1,0.68,0.79,0.1642,674,13252,7,1,0,0,1
249,9,0,1,0.7,0.74,0.1343,328,13253,7,1,0,0,1
250,10,0,1,0.72,0.62,0.1343,195,13254,7,1,0,0,1
251,11,0,1,0.76,0.58,0.1343,229,13255,7,1,0,0,1
252,12,0,1,0.78,0.43,0.0,292,13256,7,1,0,0,1
253,13,0,1,0.8,0.42,0.1642,273,13257,7,1,0,0,1
254,14,0,1,0.8,0.41,0.2239,241,13258,7,1,1,0,0
255,15,0,1,0.8,0.41,0.2537,276,13259,7,1,1,0,0
256,16,0,1,0.8,0.38,0.1939999999999999,411,13260,7,1,1,0,0
257,17,0,1,0.8,0.31,0.2239,830,13261,7,1,1,0,0
258,18,0,1,0.78,0.38,0.2537,814,13262,7,1,1,0,0
259,19,0,1,0.74,0.48,0.2239,633,13263,7,1,1,0,0
260,20,0,1,0.74,0.51,0.1642,483,13264,7,1,1,0,0
261,21,0,1,0.72,0.58,0.2239,391,13265,7,1,1,0,0
262,22,0,1,0.72,0.58,0.2537,244,13266,7,1,1,0,0
263,23,0,1,0.7,0.58,0.2537,152,13267,7,1,0,0,1
264,0,0,1,0.68,0.61,0.0,56,13268,7,1,0,0,1
265,1,0,1,0.66,0.61,0.0,21,13269,7,1,0,0,1
266,2,0,1,0.66,0.65,0.0896,9,13270,7,1,0,0,1
267,3,0,1,0.64,0.69,0.1045,10,13271,7,1,1,0,0
268,4,0,1,0.64,0.73,0.1045,5,13272,7,1,1,0,0
269,5,0,1,0.62,0.73,0.1045,44,13273,7,1,1,0,0
270,6,0,1,0.64,0.73,0.0896,178,13274,7,1,1,0,0
271,7,0,1,0.64,0.73,0.1343,512,13275,7,1,1,0,0
272,8,0,1,0.68,0.65,0.1343,702,13276,7,1,1,0,0
273,9,0,1,0.72,0.58,0.1045,327,13277,7,1,1,0,0
274,10,0,1,0.74,0.48,0.1642,214,13278,7,1,1,0,0
275,11,0,1,0.76,0.45,0.1045,215,13279,7,1,1,0,0
276,12,0,1,0.78,0.35,0.1343,292,13280,7,1,1,0,0
277,13,0,1,0.8,0.33,0.2239,277,13281,7,1,1,0,0
278,14,0,1,0.78,0.33,0.2239,209,13282,7,1,1,0,0
279,15,0,1,0.8,0.36,0.1939999999999999,271,13283,7,1,1,0,0
280,16,0,1,0.8,0.36,0.1939999999999999,439,13284,7,1,1,0,0
281,17,0,1,0.76,0.43,0.2239,795,13285,7,1,1,0,0
282,18,0,1,0.76,0.45,0.1343,825,13286,7,1,1,0,0
283,19,0,1,0.74,0.48,0.2239,629,13287,7,1,1,0,0
284,20,0,1,0.74,0.48,0.2239,514,13288,7,1,1,0,0
285,21,0,1,0.72,0.48,0.2239,373,13289,7,1,1,0,0
286,22,0,1,0.72,0.51,0.1642,318,13290,7,1,1,0,0
287,23,0,1,0.7,0.51,0.2239,211,13291,7,1,0,0,1
288,0,0,1,0.7,0.54,0.1642,95,13292,7,1,0,0,1
289,1,0,1,0.68,0.54,0.1045,59,13293,7,1,0,0,1
290,2,0,1,0.66,0.61,0.0896,17,13294,7,1,0,0,1
291,3,0,1,0.68,0.61,0.0,9,13295,7,1,0,0,1
292,4,0,1,0.66,0.61,0.0,11,13296,7,1,0,0,1
293,5,0,1,0.66,0.56,0.0896,34,13297,7,1,0,0,1
294,6,0,1,0.7,0.54,0.0,127,13298,7,1,0,0,1
295,7,0,1,0.7,0.54,0.0,380,13299,7,1,0,0,1
296,8,0,1,0.7,0.54,0.0,713,13300,7,1,0,0,1
297,9,0,1,0.72,0.51,0.0,414,13301,7,1,0,0,1
298,10,0,1,0.74,0.48,0.0,268,13302,7,1,0,0,1
299,11,0,1,0.76,0.45,0.1343,288,13303,7,1,0,0,1
300,12,0,1,0.76,0.4,0.1045,379,13304,7,1,0,0,1
301,13,0,1,0.8,0.38,0.1343,374,13305,7,1,0,0,1
302,14,0,1,0.8,0.38,0.0,369,13306,7,1,0,0,1
303,15,0,1,0.8,0.36,0.1045,353,13307,7,1,0,0,1
304,16,0,1,0.8,0.36,0.2239,492,13308,7,1,0,0,1
305,17,0,1,0.8,0.36,0.1642,835,13309,7,1,0,0,1
306,18,0,1,0.78,0.46,0.1939999999999999,631,13310,7,1,1,0,0
307,19,0,1,0.74,0.51,0.1642,488,13311,7,1,1,0,0
308,20,0,1,0.74,0.48,0.1343,389,13312,7,1,1,0,0
309,21,0,1,0.72,0.54,0.0,299,13313,7,1,1,0,0
310,22,0,1,0.74,0.45,0.0,263,13314,7,1,1,0,0
311,23,0,1,0.72,0.45,0.1343,212,13315,7,1,0,0,1
312,0,0,0,0.72,0.48,0.0896,191,13316,7,1,0,0,1
313,1,0,0,0.7,0.51,0.1045,118,13317,7,1,0,0,1
314,2,0,0,0.7,0.54,0.1045,101,13318,7,1,0,0,1
315,3,0,0,0.7,0.54,0.1045,40,13319,7,1,0,0,1
316,4,0,0,0.66,0.61,0.1045,9,13320,7,1,0,1,0
317,5,0,0,0.64,0.73,0.1045,5,13321,7,1,0,0,1
318,6,0,0,0.64,0.78,0.0896,35,13322,7,1,0,0,1
319,7,0,0,0.64,0.78,0.2836,48,13323,7,1,1,0,0
320,8,0,0,0.62,0.78,0.2836,151,13324,7,1,1,0,0
321,9,0,0,0.66,0.74,0.1939999999999999,282,13325,7,1,1,0,0
322,10,0,0,0.72,0.7,0.0896,401,13326,7,1,0,0,1
323,11,0,0,0.72,0.7,0.1045,439,13327,7,1,0,0,1
324,12,0,0,0.74,0.66,0.0896,499,13328,7,1,0,0,1
325,13,0,0,0.76,0.62,0.0896,591,13329,7,1,0,0,1
326,14,0,0,0.8,0.55,0.1045,632,13330,7,1,1,0,0
327,15,0,0,0.8,0.55,0.1642,560,13331,7,1,1,0,0
328,16,0,0,0.72,0.79,0.3582,566,13332,7,1,0,0,1
329,17,0,0,0.7,0.79,0.1642,458,13333,7,1,0,1,0
330,18,0,0,0.72,0.79,0.1343,351,13334,7,1,1,0,0
331,19,0,0,0.72,0.84,0.0896,431,13335,7,1,1,0,0
332,20,0,0,0.72,0.84,0.0896,356,13336,7,1,1,0,0
333,21,0,0,0.7,0.84,0.2239,269,13337,7,1,1,0,0
334,22,0,0,0.7,0.79,0.1939999999999999,225,13338,7,1,1,0,0
335,23,0,0,0.68,0.83,0.0896,211,13339,7,1,0,0,1
336,0,0,0,0.68,0.89,0.1642,187,13340,7,1,1,0,0
337,1,0,0,0.68,0.89,0.1343,168,13341,7,1,0,0,1
338,2,0,0,0.68,0.89,0.1642,115,13342,7,1,0,0,1
339,3,0,0,0.68,0.89,0.1642,57,13343,7,1,0,0,1
340,4,0,0,0.68,0.89,0.1045,19,13344,7,1,0,0,1
341,5,0,0,0.68,0.89,0.1343,9,13345,7,1,1,0,0
342,6,0,0,0.68,0.83,0.1343,15,13346,7,1,1,0,0
343,7,0,0,0.7,0.79,0.0896,47,13347,7,1,1,0,0
344,8,0,0,0.7,0.84,0.1343,133,13348,7,1,0,0,1
345,9,0,0,0.72,0.79,0.0,221,13349,7,1,0,0,1
346,10,0,0,0.76,0.66,0.1343,382,13350,7,1,1,0,0
347,11,0,0,0.82,0.52,0.1642,451,13351,7,1,1,0,0
348,12,0,0,0.84,0.47,0.1045,489,13352,7,1,1,0,0
349,13,0,0,0.86,0.41,0.1045,480,13353,7,1,1,0,0
350,14,0,0,0.9,0.37,0.2537,476,13354,7,1,1,0,0
351,15,0,0,0.86,0.47,0.1343,489,13355,7,1,1,0,0
352,16,0,0,0.86,0.41,0.2239,495,13356,7,1,1,0,0
353,17,0,0,0.8,0.59,0.4925,436,13357,7,1,1,0,0
354,18,0,0,0.72,0.79,0.3582,312,13358,7,1,0,1,0
355,19,0,0,0.72,0.84,0.2239,312,13359,7,1,1,0,0
356,20,0,0,0.72,0.79,0.2537,294,13360,7,1,1,0,0
357,21,0,0,0.72,0.79,0.0896,223,13361,7,1,1,0,0
358,22,0,0,0.72,0.74,0.1045,130,13362,7,1,1,0,0
359,23,0,0,0.72,0.79,0.1343,91,13363,7,1,1,0,0
360,0,0,1,0.72,0.79,0.1045,43,13364,7,1,0,1,0
361,1,0,1,0.7,0.74,0.1939999999999999,11,13365,7,1,0,0,1
362,2,0,1,0.7,0.74,0.1045,15,13366,7,1,1,0,0
363,3,0,1,0.68,0.79,0.0896,6,13367,7,1,1,0,0
364,4,0,1,0.68,0.79,0.1045,12,13368,7,1,1,0,0
365,5,0,1,0.66,0.78,0.1045,50,13369,7,1,1,0,0
366,6,0,1,0.68,0.79,0.1343,140,13370,7,1,1,0,0
367,7,0,1,0.72,0.7,0.0896,483,13371,7,1,1,0,0
368,8,0,1,0.74,0.66,0.1045,667,13372,7,1,1,0,0
369,9,0,1,0.76,0.62,0.1642,348,13373,7,1,1,0,0
370,10,0,1,0.8,0.59,0.0,186,13374,7,1,1,0,0
371,11,0,1,0.84,0.53,0.2239,182,13375,7,1,1,0,0
372,12,0,1,0.84,0.49,0.1343,237,13376,7,1,1,0,0
373,13,0,1,0.84,0.49,0.2836,239,13377,7,1,1,0,0
374,14,0,1,0.88,0.42,0.1045,212,13378,7,1,1,0,0
375,15,0,1,0.86,0.47,0.2537,237,13379,7,1,1,0,0
376,16,0,1,0.76,0.66,0.5821,386,13380,7,1,0,1,0
377,17,0,1,0.76,0.66,0.5821,755,13381,7,1,0,1,0
378,18,0,1,0.84,0.53,0.0,794,13382,7,1,1,0,0
379,19,0,1,0.8,0.63,0.1343,595,13383,7,1,1,0,0
380,20,0,1,0.8,0.59,0.1343,454,13384,7,1,1,0,0
381,21,0,1,0.76,0.66,0.1343,328,13385,7,1,1,0,0
